insee,nom,surf_ha,"
Code 
Commune
","Population 
municipale 
2018",Densité pop en hab/ha,,,
,,,,,,,,
9001,Aigues-Juntes,785,09001,63,0.080254777,,,
9002,Aigues-Vives,522,09002,655,1.254789272,,,
9003,L'Aiguillon,645,09003,413,0.640310078,,,
9004,Albiès,768,09004,122,0.158854167,,,
9005,Aleu,1386,09005,134,0.096681097,,,
9006,Alliat,345,09006,53,0.153623188,,,
9007,Allières,915,09007,72,0.078688525,,,
9008,Alos,2367,09008,120,0.050697085,,,
9009,Alzen,1733,09009,265,0.152914022,,,
9011,Antras,1994,09011,68,0.034102307,,,
9012,Appy,610,09012,26,0.042622951,,,
9013,Arabaux,459,09013,78,0.169934641,,,
9014,Argein,1114,09014,193,0.173249551,,,
9015,Arignac,877,09015,700,0.798175599,,,
9016,Arnave,844,09016,213,0.252369668,,,
9017,Arrien-en-Bethmale,1460,09017,111,0.076027397,,,
9018,Arrout,298,09018,88,0.295302013,,,
9019,Artigat,2418,09019,563,0.232837055,,,
9020,Artigues,1225,09020,49,0.04,,,
9021,Artix,744,09021,131,0.176075269,,,
9022,Arvigna,866,09022,219,0.252886836,,,
9023,Ascou,3453,09023,120,0.034752389,,,
9024,Aston,15325,09024,214,0.013964111,,,
9025,Aucazein,603,09025,57,0.094527363,,,
9026,Audressein,403,09026,143,0.35483871,,,
9027,Augirein,982,09027,78,0.079429735,,,
9029,Aulus-les-Bains,5245,09029,161,0.030695901,,,
9030,Auzat,16223,09030,481,0.029649263,,,
9031,Axiat,981,09031,41,0.041794088,,,
9032,Ax-les-Thermes,2874,09032,1277,0.444328462,,,
9033,Bagert,341,09033,37,0.108504399,,,
9034,Balacet,211,09034,30,0.142180095,,,
9035,Balaguères,1795,09035,196,0.109192201,,,
9037,Barjac,294,09037,42,0.142857143,,,
9038,La Bastide-de-Besplas,1026,09038,382,0.372319688,,,
9039,La Bastide-de-Bousignac,1263,09039,339,0.268408551,,,
9040,La Bastide-de-Lordat,593,09040,288,0.485666105,,,
9041,La Bastide-du-Salat,667,09041,193,0.289355322,,,
9042,La Bastide-de-Sérou,4186,09042,967,0.231008122,,,
9043,La Bastide-sur-l'Hers,474,09043,671,1.415611814,,,
9044,Baulou,1468,09044,171,0.116485014,,,
9045,Bédeilhac-et-Aynat,639,09045,195,0.305164319,,,
9046,Bédeille,933,09046,69,0.073954984,,,
9047,Bélesta,2694,09047,1075,0.399034892,,,
9048,Belloc,963,09048,77,0.079958463,,,
9049,Bénac,300,09049,180,0.6,,,
9050,Benagues,302,09050,523,1.731788079,,,
9051,Bénaix,1445,09051,149,0.103114187,,,
9052,Besset,810,09052,163,0.201234568,,,
9053,Bestiac,671,09053,20,0.029806259,,,
9054,Betchat,2206,09054,346,0.156844968,,,
9055,Bethmale,3190,09055,94,0.029467085,,,
9056,Bézac,835,09056,376,0.450299401,,,
9057,Biert,2353,09057,319,0.135571611,,,
9058,Bompas,274,09058,192,0.700729927,,,
9059,Bonac-Irazein,3787,09059,119,0.03142329,,,
9060,Bonnac,963,09060,742,0.770508827,,,
9061,Les Bordes-sur-Arize,1294,09061,512,0.395672334,,,
9062,Bordes-Uchentein,5347,09062,186,0.034785861,,,
9063,Le Bosc,2575,09063,103,0.04,,,
9064,Bouan,341,09064,39,0.114369501,,,
9065,Boussenac,2636,09065,214,0.081183612,,,
9066,Brassac,2409,09066,626,0.259858863,,,
9067,Brie,697,09067,216,0.30989957,,,
9068,Burret,494,09068,40,0.08097166,,,
9069,Buzan,858,09069,28,0.032634033,,,
9070,Les Cabannes,89,09070,335,3.764044944,,,
9071,Cadarcet,1100,09071,224,0.203636364,,,
9072,Calzan,410,09072,33,0.080487805,,,
9073,Camarade,2770,09073,188,0.067870036,,,
9074,Camon,1032,09074,145,0.140503876,,,
9075,Campagne-sur-Arize,1369,09075,279,0.203798393,,,
9076,Canté,1002,09076,204,0.203592814,,,
9077,Capoulet-et-Junac,276,09077,175,0.634057971,,,
9078,Carcanières,650,09078,75,0.115384615,,,
9079,Carla-Bayle,3576,09079,788,0.220357942,,,
9080,Carla-de-Roquefort,933,09080,171,0.183279743,,,
9081,Le Carlaret,950,09081,274,0.288421053,,,
9082,Castelnau-Durban,1299,09082,452,0.347959969,,,
9083,Castéras,187,09083,23,0.122994652,,,
9084,Castex,707,09084,94,0.132956153,,,
9085,Castillon-en-Couserans,504,09085,399,0.791666667,,,
9086,Caumont,938,09086,328,0.349680171,,,
9087,Caussou,1608,09087,48,0.029850746,,,
9088,Caychax,559,09088,15,0.026833631,,,
9089,Cazals-des-Baylès,478,09089,56,0.117154812,,,
9090,Cazaux,746,09090,38,0.050938338,,,
9091,Cazavet,1806,09091,213,0.117940199,,,
9092,Cazenave-Serres-et-Allens,1626,09092,56,0.034440344,,,
9093,Celles,1053,09093,154,0.146248813,,,
9094,Cérizols,1467,09094,139,0.094751193,,,
9095,Cescau,531,09095,145,0.27306968,,,
9096,Château-Verdun,81,09096,43,0.530864198,,,
9097,Clermont,722,09097,112,0.155124654,,,
9098,Contrazy,836,09098,67,0.080143541,,,
9099,Cos,651,09099,393,0.603686636,,,
9100,Couflens,5603,09100,88,0.015705872,,,
9101,Coussa,762,09101,275,0.360892388,,,
9102,Coutens,433,09102,170,0.3926097,,,
9103,Crampagna,998,09103,852,0.853707415,,,
9104,Dalou,752,09104,774,1.029255319,,,
9105,Daumazan-sur-Arize,1379,09105,717,0.519941987,,,
9106,Dreuilhe,702,09106,357,0.508547009,,,
9107,Dun,4147,09107,611,0.147335423,,,
9108,Durban-sur-Arize,672,09108,182,0.270833333,,,
9109,Durfort,1106,09109,159,0.143761302,,,
9110,Encourtiech,479,09110,89,0.185803758,,,
9111,Engomer,764,09111,300,0.392670157,,,
9113,Ercé,4059,09113,550,0.135501355,,,
9114,Erp,929,09114,125,0.134553283,,,
9115,Esclagne,356,09115,139,0.390449438,,,
9116,Escosse,1494,09116,401,0.268406961,,,
9117,Esplas,772,09117,102,0.132124352,,,
9118,Esplas-de-Sérou,3446,09118,186,0.053975624,,,
9119,Eycheil,492,09119,550,1.117886179,,,
9120,Fabas,2328,09120,352,0.151202749,,,
9121,Ferrières-sur-Ariège,347,09121,763,2.198847262,,,
9122,Foix,1946,09122,9452,4.857142857,,,
9123,Fornex,966,09123,113,0.116977226,,,
9124,Le Fossat,1446,09124,1043,0.721300138,,,
9125,Fougax-et-Barrineuf,3160,09125,434,0.137341772,,,
9126,Freychenet,2519,09126,87,0.034537515,,,
9127,Gabre,1356,09127,123,0.090707965,,,
9128,Gajan,818,09128,306,0.37408313,,,
9129,Galey,940,09129,117,0.124468085,,,
9130,Ganac,2049,09130,731,0.356759395,,,
9131,Garanou,300,09131,153,0.51,,,
9132,Gaudiès,1048,09132,246,0.234732824,,,
9133,Génat,824,09133,21,0.025485437,,,
9134,Gestiès,2766,09134,31,0.01120752,,,
9136,Gourbit,1764,09136,74,0.041950113,,,
9137,Gudas,1095,09137,186,0.169863014,,,
9138,L'Herm,1469,09138,199,0.135466304,,,
9139,L'Hospitalet-près-l'Andorre,2608,09139,100,0.038343558,,,
9140,Ignaux,562,09140,116,0.206405694,,,
9141,Illartein,398,09141,73,0.183417085,,,
9142,Ilhat,672,09142,116,0.172619048,,,
9143,Illier-et-Laramade,490,09143,29,0.059183673,,,
9145,Les Issards,372,09145,240,0.64516129,,,
9146,Justiniac,463,09146,57,0.123110151,,,
9147,Labatut,359,09147,178,0.495821727,,,
9148,Lacave,452,09148,134,0.296460177,,,
9149,Lacourt,1699,09149,193,0.113596233,,,
9150,Lagarde,1200,09150,198,0.165,,,
9151,Lanoux,383,09151,51,0.133159269,,,
9152,Lapège,851,09152,26,0.030552291,,,
9153,Lapenne,2202,09153,123,0.055858311,,,
9154,Larbont,617,09154,57,0.092382496,,,
9155,Larcat,925,09155,46,0.04972973,,,
9156,Larnat,554,09156,20,0.036101083,,,
9157,Laroque-d'Olmes,1436,09157,2412,1.679665738,,,
9158,Lasserre,848,09158,250,0.294811321,,,
9159,Lassur,1212,09159,92,0.075907591,,,
9160,Lavelanet,1276,09160,6099,4.779780564,,,
9161,Léran,1208,09161,602,0.498344371,,,
9162,Lercoul,1921,09162,19,0.009890682,,,
9163,Lescousse,849,09163,77,0.090694935,,,
9164,Lescure,2617,09164,492,0.188001528,,,
9165,Lesparrou,1643,09165,233,0.141813755,,,
9166,Leychert,566,09166,99,0.174911661,,,
9167,Lézat-sur-Lèze,4045,09167,2336,0.57750309,,,
9168,Lieurac,637,09168,188,0.295133438,,,
9169,Limbrassac,1237,09169,130,0.105092967,,,
9170,Lissac,383,09170,250,0.652741514,,,
9171,Lordat,749,09171,69,0.09212283,,,
9172,Loubaut,239,09172,27,0.112970711,,,
9173,Loubens,1196,09173,280,0.234113712,,,
9174,Loubières,287,09174,344,1.198606272,,,
9175,Ludiès,191,09175,92,0.481675393,,,
9176,Luzenac,2650,09176,530,0.2,,,
9177,Madière,1041,09177,226,0.217098943,,,
9178,Malegoude,617,09178,46,0.074554295,,,
9179,Malléon,690,09179,77,0.111594203,,,
9180,Manses,1558,09180,122,0.07830552,,,
9181,Le Mas-d'Azil,3945,09181,1151,0.291761724,,,
9182,Massat,4488,09182,685,0.152629234,,,
9183,Mauvezin-de-Prat,198,09183,102,0.515151515,,,
9184,Mauvezin-de-Sainte-Croix,545,09184,40,0.073394495,,,
9185,Mazères,4421,09185,3875,0.87649853,,,
9186,Méras,374,09186,108,0.288770053,,,
9187,Mercenac,1380,09187,359,0.260144928,,,
9188,Mercus-Garrabet,1467,09188,1202,0.819359237,,,
9189,Mérens-les-Vals,8096,09189,168,0.020750988,,,
9190,Mérigon,645,09190,116,0.179844961,,,
9192,Miglos,1884,09192,115,0.06104034,,,
9193,Mijanès,3966,09193,60,0.015128593,,,
9194,Mirepoix,4756,09194,3130,0.658116064,,,
9195,Monesple,615,09195,29,0.047154472,,,
9196,Montagagne,713,09196,81,0.113604488,,,
